"clean_txt","sentiment"
"RT        GoliSoda2  GST Releasing Soon       ",0
"RT    GST tweak to hit  restaurants  expansion plans  GSTNews  GSTIndiaExpert  ",-1
"RT        GoliSoda2  GST Releasing Soon       ",0
"Before the intimation of  GST the Waybills was required to facilitate Supply of Goods   ",1
" GST Software Demo  India  The Simplification of E way Bill Process    gsttool  gstrules See More  ",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT        GoliSoda2  GST Releasing Soon       ",0
"RT        GoliSoda2  GST Releasing Soon       ",0
" tax tangle   March  GST mop up hits Rs 96 000 crore  GSTNews  GSTIndiaExpert  GSTCollection  ",0
"RT   A twist in  taxation    Authority for Advance Ruling says that  GST is payable by international  flyers at Delhi  Airport",1
"RT   Arun Jaitley Has Very Poor Knowledge in Regarding Economy  Resulting The Increase in Rate of  PETROL AND DIESEL  Now even GST",1
"RT        GoliSoda2  GST Releasing Soon       ",0
"How Pakatan Is Hiding The Truth About What The Increasing Revenue From  GST Really Means  ",1
"Arun Jaitley Has Very Poor Knowledge in Regarding Economy  Resulting The Increase in Rate of  PETROL AND DIESEL  No ",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT        GoliSoda2  GST Releasing Soon       ",0
"   in  GoliSoda2  GST Releasing Soon     ",0
"GST  newsprint makers seek clarity on actual user    tax  gst",0
" GST  TransformingIndia  Tax tangle  March GST mop up hits Rs 96 000 crore   The Financial Express ",0
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT   Duty Free Shops at Airports will attract  GST ",0
" GST tweak to hit  restaurants  expansion plans  GSTNews  GSTIndiaExpert  ",-1
"The very first  Magento2  GST India extension by us is now approved by  and live at Magento Marketplace  Ma ",0
"Two important functionalities added on the GST portal 1  Facility to apply for Advance Ruling 2  Revocation of regi ",1
" TuesdayThoughts As with any returns  filing  GST returns too is no easy feat   EwayBill  taxreturns  invoice  ",1
"RT   A twist in  taxation    Authority for Advance Ruling says that  GST is payable by international  flyers at Delhi  Airport",1
"This Powerful Diagloue from  Golisoda2   Teaser       GST   ",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"Duty Free Shops at Airports will attract  GST ",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT   This Powerful Diagloue from  Golisoda2   Teaser       ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"This Powerful Diagloue from  Golisoda2   Teaser      ",1
"RT   A twist in  taxation    Authority for Advance Ruling says that  GST is payable by international  flyers at Delhi  Airport",1
"RT   A twist in  taxation    Authority for Advance Ruling says that  GST is payable by international  flyers at Delhi  Airport",1
"RT   A twist in  taxation    Authority for Advance Ruling says that  GST is payable by international  flyers at Delhi  Airport",1
"Madhya Pradesh  Arunachal Pradesh  Sikkim  Meghalaya  amp  Puducherry will initiate the  intrastate rollout of ",0
"Applicability of intrastate  EWayBill  Third Notification   GST ",0
"   in  GoliSoda2  GST Releasing Soon     ",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
